"","from","to","dist","dur","gAPI","arcDist","area.from","area.to"
"5","koit1244","abad1241",88887,64992,"OK",38486.5248686029,"S New Guinea","S New Guinea"
"7","lala1268","abad1241",39638,29121,"OK",29029.9590524158,"S New Guinea","S New Guinea"
"36","idaa1241","abai1240",188279,139089,"OK",37363.0678812638,"Southeast Asia","Southeast Asia"
"37","cros1244","aban1242",100040,72761,"OK",46255.5774346131,"African Savannah","African Savannah"
"38","ekaj1238","aban1242",27464,20165,"OK",19007.8590625939,"African Savannah","African Savannah"
"39","mbee1249","aban1242",44164,32338,"OK",36791.1182257084,"African Savannah","African Savannah"
"40","nden1250","aban1242",32233,23675,"OK",20729.3459712166,"African Savannah","African Savannah"
"41","ndoe1238","aban1242",29352,21454,"OK",25918.703185085,"African Savannah","African Savannah"
"42","nkem1242","aban1242",58707,42757,"OK",32371.7640057505,"African Savannah","African Savannah"
"43","nnam1238","aban1242",21776,16079,"OK",15598.9284047715,"African Savannah","African Savannah"
"44","olul1245","aban1242",69170,50490,"OK",37338.3339054546,"African Savannah","African Savannah"
"45","uzek1238","aban1242",115296,83893,"OK",47045.9754589583,"African Savannah","African Savannah"
"46","yala1263","aban1242",65018,47365,"OK",48196.2407287068,"African Savannah","African Savannah"
"91","abid1235","abee1242",41104,29966,"OK",23053.4061482639,"African Savannah","African Savannah"
"92","adio1239","abee1242",80462,58561,"OK",28494.874754054,"African Savannah","African Savannah"
"93","alla1248","abee1242",136335,99330,"OK",41789.920496765,"African Savannah","African Savannah"
"94","apro1235","abee1242",145152,105703,"OK",46422.9974956616,"African Savannah","African Savannah"
"95","baou1238","abee1242",126979,92704,"OK",46312.841745385,"African Savannah","African Savannah"
"96","ebri1238","abee1242",119032,87250,"OK",46647.504384518,"African Savannah","African Savannah"
"97","krob1245","abee1242",38673,28368,"OK",31204.4734923479,"African Savannah","African Savannah"
"98","mobu1235","abee1242",96840,70796,"OK",37833.5380175963,"African Savannah","African Savannah"
"103","adio1239","abid1235",39359,28595,"OK",31225.7286745427,"African Savannah","African Savannah"
"122","biky1238","abon1238",309423,238831,"OK",41772.8679128858,"African Savannah","African Savannah"
"125","dzod1238","abon1238",313388,242642,"OK",12683.082530459,"African Savannah","African Savannah"
"127","keme1240","abon1238",305986,236285,"OK",47951.7834904854,"African Savannah","African Savannah"
"132","mbon1253","abon1238",34378,26059,"OK",29552.3270711562,"African Savannah","African Savannah"
"134","mvan1238","abon1238",46186,35675,"OK",37809.1109603676,"African Savannah","African Savannah"
"136","ndeg1238","abon1238",176911,129135,"OK",48311.5815102785,"African Savannah","African Savannah"
"137","ndun1251","abon1238",39312,30731,"OK",32287.2784635407,"African Savannah","African Savannah"
"138","nsar1238","abon1238",279844,216669,"OK",43436.1532218454,"African Savannah","African Savannah"
"140","nyon1241","abon1238",101527,78821,"OK",45759.1228783597,"African Savannah","African Savannah"
"141","tigo1236","abon1238",320452,247777,"OK",20526.4263952129,"African Savannah","African Savannah"
"144","bond1246","abro1238",60459,43961,"OK",43718.4413485346,"African Savannah","African Savannah"
"145","ligb1244","abro1238",48256,35161,"OK",25599.5540164623,"African Savannah","African Savannah"
"146","nafa1258","abro1238",51748,37754,"OK",31656.8888646034,"African Savannah","African Savannah"
"149","ekpe1253","abua1244",36744,26606,"OK",27837.7774307259,"African Savannah","African Savannah"
"150","enge1239","abua1244",56878,41164,"OK",41841.8867103025,"African Savannah","African Savannah"
"151","epie1238","abua1244",71670,51875,"OK",38779.161191576,"African Savannah","African Savannah"
"152","ikwe1242","abua1244",60416,43698,"OK",36600.9248179248,"African Savannah","African Savannah"
"155","odua1238","abua1244",77809,56336,"OK",22185.8498537767,"African Savannah","African Savannah"
"157","ogbi1239","abua1244",96959,70175,"OK",31645.1106206184,"African Savannah","African Savannah"
"158","ogbo1242","abua1244",16200,11712,"OK",11564.1282272305,"African Savannah","African Savannah"
"159","ogbr1243","abua1244",41307,29335,"OK",33539.7079381172,"African Savannah","African Savannah"
"160","orum1241","abua1244",71663,51860,"OK",28359.5967381512,"African Savannah","African Savannah"
"161","adan1251","abui1241",52790,43844,"OK",20477.9703006618,"Oceania","N Coast New Guinea"
"164","hama1240","abui1241",34822,29818,"OK",8710.48825954779,"N Coast New Guinea","N Coast New Guinea"
"165","kabo1247","abui1241",45210,37158,"OK",16222.7244230904,"Oceania","N Coast New Guinea"
"166","kafo1240","abui1241",58312,46725,"OK",16802.30253701,"Oceania","N Coast New Guinea"
"167","kama1365","abui1241",46154,37200,"OK",22945.2207521003,"Oceania","N Coast New Guinea"
"168","kelo1247","abui1241",79778,63635,"OK",20533.2742968357,"Oceania","N Coast New Guinea"
"169","kuii1253","abui1241",55069,44992,"OK",23732.4221178679,"Oceania","N Coast New Guinea"
"170","kula1280","abui1241",83227,66446,"OK",46527.7356609611,"Oceania","N Coast New Guinea"
"175","wers1238","abui1241",92164,74288,"OK",38027.0928517792,"Oceania","N Coast New Guinea"
"177","beti1248","abur1243",61920,44923,"OK",39736.0381668585,"African Savannah","African Savannah"
"179","mbat1247","abur1243",34928,25304,"OK",15954.8390006378,"African Savannah","African Savannah"
"208","ayut1236","acat1239",43964,35385,"OK",25567.6780853052,"Mesoamerica","Mesoamerica"
"209","mali1285","acat1239",99824,79619,"OK",47109.76426776,"Mesoamerica","Mesoamerica"
