"","from","to","dist","dur","gAPI","arcDist","area.from","area.to"
"210","tlac1237","acat1239",72263,56814,"OK",37055.6191283168,"Mesoamerica","Mesoamerica"
"211","pela1242","acha1249",45147,35969,"OK",23132.0454465695,"Southeast Asia","Southeast Asia"
"213","ches1238","ache1244",83623,67786,"OK",48696.997850776,"Southeast Asia","Southeast Asia"
"214","east2349","ache1244",77264,60620,"OK",31368.4318093628,"Southeast Asia","Southeast Asia"
"215","nort2718","ache1244",38146,28499,"OK",28516.971946998,"Southeast Asia","Southeast Asia"
"225","poqo1254","achi1256",77020,60862,"OK",40265.2967996655,"Mesoamerica","Mesoamerica"
"226","mina1268","achi1257",81378,59119,"OK",48906.6284877387,"Southeast Asia","Southeast Asia"
"227","sall1238","acht1238",56356,41155,"OK",49187.1815826407,"Europe","Europe"
"228","twen1241","acht1238",41566,30299,"OK",36357.6626011632,"Europe","Europe"
"229","velu1238","acht1238",52927,38775,"OK",45674.0832086763,"Europe","Europe"
"233","cher1271","adam1238",33327,25218,"OK",24903.3498367163,"African Savannah","African Savannah"
"234","gaaa1244","adam1238",24399,18104,"OK",20313.2712608616,"African Savannah","African Savannah"
"235","ghan1235","adam1238",45134,33622,"OK",35585.6049836207,"African Savannah","African Savannah"
"236","lart1238","adam1238",22547,16704,"OK",13988.1111885385,"African Savannah","African Savannah"
"237","lele1276","adam1253",31016,22400,"OK",321530.40795174,"African Savannah","African Savannah"
"238","mesm1239","adam1253",58711,42377,"OK",315826.268382292,"African Savannah","African Savannah"
"243","tafi1243","adan1248",67714,49603,"OK",48571.4085460775,"African Savannah","African Savannah"
"267","akeb1238","adel1244",204884,151468,"OK",46356.7516568696,"African Savannah","African Savannah"
"268","chal1269","adel1244",234845,172898,"OK",22382.1625137074,"African Savannah","African Savannah"
"269","delo1240","adel1244",247491,182192,"OK",29020.3398801326,"African Savannah","African Savannah"
"270","giky1238","adel1244",179198,132201,"OK",25636.3206021834,"African Savannah","African Savannah"
"271","giny1241","adel1244",47599,36356,"OK",40747.1203406932,"African Savannah","African Savannah"
"272","gwer1238","adho1243",73901,53751,"OK",48559.9091451573,"S Africa","S Africa"
"273","masa1299","adho1243",63798,45444,"OK",45714.0833868187,"S Africa","S Africa"
"274","nyol1238","adho1243",23178,17007,"OK",20965.2683796677,"S Africa","S Africa"
"275","alla1248","adio1239",70604,51676,"OK",20770.9891457276,"African Savannah","African Savannah"
"276","apro1235","adio1239",79421,58049,"OK",19991.5481202206,"African Savannah","African Savannah"
"280","bodo1267","adiv1239",56116,42883,"OK",32353.4642163751,"Indic","Indic"
"281","kond1295","adiv1239",40621,32369,"OK",20259.675948347,"Indic","Indic"
"282","mann1245","adiv1239",76138,60911,"OK",40981.8016921253,"Indic","Indic"
"283","reli1238","adiv1239",69040,53134,"OK",36984.0690014754,"Indic","Indic"
"304","ubyk1235","adyg1241",77373,61080,"OK",45771.462817103,"Greater Mesopotamia","Greater Mesopotamia"
"305","agar1252","adze1240",90605,64695,"OK",46666.326365959,"N Coast New Guinea","N Coast New Guinea"
"309","gads1258","adze1240",126006,92743,"OK",33977.429586499,"Interior New Guinea","N Coast New Guinea"
"311","kamb1303","adze1240",136519,100337,"OK",27315.3032452526,"Interior New Guinea","N Coast New Guinea"
"316","nort2920","adze1240",134674,98152,"OK",39455.6526318089,"Interior New Guinea","N Coast New Guinea"
"318","sout2943","adze1240",129186,93731,"OK",45695.050312854,"Interior New Guinea","N Coast New Guinea"
"332","bhay1238","aerr1238",70531,51019,"OK",37989.2326466822,"Indic","Indic"
"333","jilb1238","afad1236",28310,20402,"OK",29108.6021320427,"African Savannah","African Savannah"
"334","masl1241","afad1236",87396,63180,"OK",31462.0547262166,"African Savannah","African Savannah"
"335","mpad1242","afad1236",88491,63855,"OK",45514.6368655279,"African Savannah","African Savannah"
"336","mser1242","afad1236",63001,45448,"OK",44744.4666133515,"African Savannah","African Savannah"
"340","vend1245","afri1274",37705,27703,"OK",21499.4609150735,"S Africa","S Africa"
"342","awiy1238","agar1252",58370,44421,"OK",41114.9589048462,"Interior New Guinea","N Coast New Guinea"
"343","bena1264","agar1252",102411,78135,"OK",44012.1546108768,"Interior New Guinea","N Coast New Guinea"
"348","kama1370","agar1252",29583,22166,"OK",21709.6100199877,"Interior New Guinea","N Coast New Guinea"
"350","kani1286","agar1252",57115,43869,"OK",44808.6257920079,"Interior New Guinea","N Coast New Guinea"
"352","mari1429","agar1252",73060,57900,"OK",27647.578462362,"N Coast New Guinea","N Coast New Guinea"
"356","sara1323","agar1252",90605,71159,"OK",53534.179922188,"N Coast New Guinea","N Coast New Guinea"
"358","suku1264","agar1252",90605,71159,"OK",47733.1347813848,"N Coast New Guinea","N Coast New Guinea"
"360","usar1243","agar1252",59473,45765,"OK",37447.289843372,"Interior New Guinea","N Coast New Guinea"
"363","wase1252","agar1252",59529,48000,"OK",22228.1039115962,"N Coast New Guinea","N Coast New Guinea"
"367","bafu1246","aghe1239",49581,38395,"OK",27941.7883252705,"African Savannah","African Savannah"
"368","bamb1266","aghe1239",78365,59929,"OK",35071.7228724435,"African Savannah","African Savannah"
"371","befa1241","aghe1239",24511,19899,"OK",13687.978227341,"African Savannah","African Savannah"
"376","cung1238","aghe1239",58072,43993,"OK",43157.105088252,"African Savannah","African Savannah"
"379","fang1248","aghe1239",36897,28655,"OK",31461.3267107331,"African Savannah","African Savannah"
"382","komc1235","aghe1239",52954,39288,"OK",31619.2796831614,"African Savannah","African Savannah"
"384","kukk1239","aghe1239",18091,13005,"OK",12628.2271023095,"African Savannah","African Savannah"
"386","laim1240","aghe1239",16856,13501,"OK",13840.4135766069,"African Savannah","African Savannah"
"387","mbuu1238","aghe1239",30620,23881,"OK",25437.6909311,"African Savannah","African Savannah"
"388","mend1261","aghe1239",74909,56421,"OK",46400.8404669783,"African Savannah","African Savannah"
"393","ngem1255","aghe1239",73323,55416,"OK",46328.2302460787,"African Savannah","African Savannah"
"397","veng1238","aghe1239",116088,87159,"OK",47945.6484372875,"African Savannah","African Savannah"
"398","wehh1238","aghe1239",11546,8421,"OK",9179.51240589726,"African Savannah","African Savannah"
"400","lakk1252","aghu1253",102679,81232,"OK",47666.6145563378,"Greater Mesopotamia","Greater Mesopotamia"
"402","taba1259","aghu1253",52770,44380,"OK",23533.4316487938,"Greater Mesopotamia","Greater Mesopotamia"
"451","agwa1247","agoi1246",36818,26922,"OK",21841.318639624,"African Savannah","African Savannah"
"453","efut1242","agoi1246",37977,28052,"OK",16069.6193227961,"African Savannah","African Savannah"
"454","kohu1244","agoi1246",67103,49075,"OK",28626.7325257679,"African Savannah","African Savannah"
"455","legb1242","agoi1246",51311,37615,"OK",30493.9362914339,"African Savannah","African Savannah"
"456","leny1238","agoi1246",22708,17070,"OK",15796.2693456356,"African Savannah","African Savannah"
"457","leyi1238","agoi1246",99470,72581,"OK",12140.742826,"African Savannah","African Savannah"
"458","loka1252","agoi1246",20011,14685,"OK",14174.877842254,"African Savannah","African Savannah"
"459","lubi1238","agoi1246",89695,65185,"OK",47439.5371806264,"African Savannah","African Savannah"
"463","ubag1245","agoi1246",92859,67859,"OK",32868.3494629085,"African Savannah","African Savannah"
"464","ukpe1249","agoi1246",52562,38044,"OK",35399.5278795937,"African Savannah","African Savannah"
"465","ukwa1238","agoi1246",117224,86254,"OK",42191.8293640654,"African Savannah","African Savannah"
"468","chic1271","agua1252",84137,66338,"OK",30997.9694957162,"Mesoamerica","Mesoamerica"
"469","ixil1251","agua1252",103007,83913,"OK",47401.5959633856,"Mesoamerica","Mesoamerica"
"470","qanj1241","agua1252",101521,79826,"OK",39415.1847459528,"Mesoamerica","Mesoamerica"
"471","saca1238","agua1252",33554,27282,"OK",23033.6317176416,"Mesoamerica","Mesoamerica"
"472","sipa1247","agua1252",66612,51620,"OK",43215.7349158423,"Mesoamerica","Mesoamerica"
"473","uspa1245","agua1252",69203,54686,"OK",45889.9715216045,"Mesoamerica","Mesoamerica"
"474","ajab1235","agun1238",93685,67968,"OK",48584.7942512001,"African Savannah","African Savannah"
"480","cent2090","agut1237",84828,62750,"OK",37135.8576088039,"Oceania","Oceania"
"481","cuyo1237","agut1237",112510,82793,"OK",45512.085372773,"Oceania","Oceania"
"485","ibuo1242","agwa1247",98769,72721,"OK",36670.5968843507,"African Savannah","African Savannah"
"486","itum1245","agwa1247",93799,68898,"OK",40437.1254120779,"African Savannah","African Savannah"
"498","jwir1241","ahan1243",39853,28806,"OK",33714.2792139796,"African Savannah","African Savannah"
"500","akuk1235","ahan1244",60969,44971,"OK",37075.4968711182,"African Savannah","African Savannah"
"501","arig1246","ahan1244",24636,17814,"OK",18456.8645577771,"African Savannah","African Savannah"
"503","ehue1238","ahan1244",50383,36802,"OK",16604.830338356,"African Savannah","African Savannah"
"504","emai1241","ahan1244",75362,56000,"OK",43018.0517111325,"African Savannah","African Savannah"
"505","enwa1246","ahan1244",43555,32012,"OK",32879.1099378453,"African Savannah","African Savannah"
"506","ghot1243","ahan1244",60460,44602,"OK",36735.5690090397,"African Savannah","African Savannah"
"509","igwe1238","ahan1244",49329,36300,"OK",37885.635523012,"African Savannah","African Savannah"
"511","ikpe1243","ahan1244",69728,51310,"OK",47874.0205122678,"African Savannah","African Savannah"
"512","ivbi1241","ahan1244",46544,34374,"OK",39157.5990050423,"African Savannah","African Savannah"
"517","okpe1250","ahan1244",38796,28839,"OK",25086.7626529769,"African Savannah","African Savannah"
"518","olom1241","ahan1244",62725,46182,"OK",47758.1332189288,"African Savannah","African Savannah"
"520","sasa1247","ahan1244",56769,41648,"OK",42873.7198904935,"African Savannah","African Savannah"
"521","uham1238","ahan1244",42429,31264,"OK",36340.6160356159,"African Savannah","African Savannah"
"523","ukue1238","ahan1244",50383,36802,"OK",17614.6028265009,"African Savannah","African Savannah"
"529","lepc1244","ahom1240",54881,44603,"OK",23817.974495986,"Indic","Indic"
"530","alum1246","ahwa1235",33440,24778,"OK",17949.7215689111,"African Savannah","African Savannah"
"531","ayuu1242","ahwa1235",19090,13820,"OK",10650.0679193263,"African Savannah","African Savannah"
"533","buuu1244","ahwa1235",25964,19324,"OK",17444.1705585559,"African Savannah","African Savannah"
"534","duhw1236","ahwa1235",121257,87965,"OK",29158.8912136973,"African Savannah","African Savannah"
"535","hash1238","ahwa1235",13270,9470,"OK",11617.4746293656,"African Savannah","African Savannah"
"537","kago1247","ahwa1235",117248,85665,"OK",41591.3293583445,"African Savannah","African Savannah"
"538","kani1277","ahwa1235",103415,74945,"OK",43842.1505591559,"African Savannah","African Savannah"
"539","kanu1277","ahwa1235",103415,74945,"OK",41804.507603598,"African Savannah","African Savannah"
"540","mada1282","ahwa1235",85890,62929,"OK",29682.7249814987,"African Savannah","African Savannah"
"541","mama1272","ahwa1235",63061,47074,"OK",48004.1937252935,"African Savannah","African Savannah"
"542","mund1334","ahwa1235",43297,31778,"OK",22884.6396279399,"African Savannah","African Savannah"
"543","ning1271","ahwa1235",56841,41958,"OK",19047.7416487916,"African Savannah","African Savannah"
"544","ninz1246","ahwa1235",50665,37564,"OK",26202.6298142234,"African Savannah","African Savannah"
"545","numa1252","ahwa1235",47992,35395,"OK",10655.9812186764,"African Savannah","African Savannah"
"546","nung1292","ahwa1235",38404,28546,"OK",25517.8928736522,"African Savannah","African Savannah"
"547","shaa1247","ahwa1235",70953,51563,"OK",24303.7941839366,"African Savannah","African Savannah"
"548","toro1249","ahwa1235",20978,15703,"OK",9703.10600714503,"African Savannah","African Savannah"
"549","makc1235","aich1238",23783,19361,"OK",16553.1122855505,"Southeast Asia","Southeast Asia"
"570","chot1239","aimo1244",152771,121498,"OK",32384.2405373976,"Southeast Asia","Southeast Asia"
"571","gang1266","aimo1244",104319,83458,"OK",24032.6080970122,"Southeast Asia","Southeast Asia"
"572","komi1270","aimo1244",128217,103544,"OK",30874.1538845885,"Southeast Asia","Southeast Asia"
"573","mari1416","aimo1244",140363,109369,"OK",49143.2421828102,"Southeast Asia","Southeast Asia"
"574","mons1234","aimo1244",99504,79628,"OK",18778.5232033947,"Southeast Asia","Southeast Asia"
"577","tang1336","aimo1244",94093,75574,"OK",45108.5696288565,"Southeast Asia","Southeast Asia"
"578","tara1313","aimo1244",125674,101330,"OK",32961.0468078299,"Southeast Asia","Southeast Asia"
"626","kota1272","ajab1235",48600,35627,"OK",48123.1791960562,"African Savannah","African Savannah"
"632","dulb1238","ajaw1236",10116,7433,"OK",6438.67707476895,"Greater Mesopotamia","Greater Mesopotamia"
"633","gala1264","ajaw1236",67087,49170,"OK",40774.7873606773,"Greater Mesopotamia","Greater Mesopotamia"
"636","geru1240","ajaw1236",42936,31256,"OK",32010.1435768122,"African Savannah","Greater Mesopotamia"
"637","guru1271","ajaw1236",90136,65644,"OK",47754.0028891503,"African Savannah","Greater Mesopotamia"
"638","juuu1243","ajaw1236",11625,8350,"OK",9244.73675723175,"Greater Mesopotamia","Greater Mesopotamia"
"639","kirb1236","ajaw1236",17389,12607,"OK",15170.8530764131,"Greater Mesopotamia","Greater Mesopotamia"
"640","labi1245","ajaw1236",64550,46973,"OK",44626.3953025745,"Greater Mesopotamia","Greater Mesopotamia"
"641","luri1256","ajaw1236",49203,35598,"OK",36398.4726896326,"Greater Mesopotamia","Greater Mesopotamia"
"642","mang1416","ajaw1236",51590,37299,"OK",20079.8928765669,"Greater Mesopotamia","Greater Mesopotamia"
"643","polc1243","ajaw1236",60010,43309,"OK",44311.4794558428,"Greater Mesopotamia","Greater Mesopotamia"
"644","shal1242","ajaw1236",74523,53929,"OK",45725.9104264031,"African Savannah","Greater Mesopotamia"
"645","shik1242","ajaw1236",52113,37871,"OK",39297.4518872187,"African Savannah","Greater Mesopotamia"
"646","tala1295","ajaw1236",4959,3574,"OK",4839.08732672348,"Greater Mesopotamia","Greater Mesopotamia"
"647","zang1255","ajaw1236",23375,16814,"OK",16029.3564275681,"Greater Mesopotamia","Greater Mesopotamia"
"649","arho1237","ajie1238",81369,60600,"OK",31885.6980173536,"Oceania","Oceania"
"650","bwat1240","ajie1238",93032,69183,"OK",41491.0417596883,"Oceania","Oceania"
"651","meaa1237","ajie1238",80260,61433,"OK",37926.7559701369,"Oceania","Oceania"
"652","neku1237","ajie1238",70132,52529,"OK",40542.0860689643,"Oceania","Oceania"
"653","orow1242","ajie1238",53595,40360,"OK",36072.6539732606,"Oceania","Oceania"
"655","zire1240","ajie1238",64925,48816,"OK",39157.2079826063,"Oceania","Oceania"
"658","akab1249","akab1248",1788,1233,"OK",2702.86527090665,"Southeast Asia","Southeast Asia"
"659","akak1251","akab1248",44201,33037,"OK",30472.9113160669,"Southeast Asia","Southeast Asia"
"660","akak1253","akab1248",114051,84927,"OK",41178.7567278152,"Southeast Asia","Southeast Asia"
"662","apuc1241","akab1248",17227,12684,"OK",13579.6002593669,"Southeast Asia","Southeast Asia"
"663","akak1251","akab1249",45989,34508,"OK",31824.9656071992,"Southeast Asia","Southeast Asia"
"664","akak1253","akab1249",112263,83694,"OK",39448.8499660607,"Southeast Asia","Southeast Asia"
"668","akak1252","akaj1239",73130,55182,"OK",36474.7601558364,"Southeast Asia","Southeast Asia"
"669","okoj1239","akaj1239",38890,29375,"OK",14273.0804792414,"Southeast Asia","Southeast Asia"
"670","anda1280","akak1251",83650,62934,"OK",46587.3288064248,"Southeast Asia","Southeast Asia"
"672","akak1253","akak1252",14626,11032,"OK",13587.5526972064,"Southeast Asia","Southeast Asia"
"679","anii1245","akas1242",45212,32559,"OK",35735.7572366215,"African Savannah","African Savannah"
"680","bago1245","akas1242",84294,61142,"OK",40210.1687528048,"African Savannah","African Savannah"
"681","mani1294","akas1242",80538,58326,"OK",36208.7225054724,"African Savannah","African Savannah"
"682","anim1239","akeb1238",89573,67730,"OK",44185.1567799613,"African Savannah","African Savannah"
"686","alag1242","akee1238",58229,42237,"OK",37780.5405097827,"African Savannah","African Savannah"
"688","eggo1239","akee1238",58727,42854,"OK",35658.763757871,"African Savannah","African Savannah"
"689","kofy1242","akee1238",59717,43164,"OK",49055.1024128021,"African Savannah","African Savannah"
"691","liji1238","akee1238",82251,59898,"OK",45010.4003072999,"African Savannah","African Savannah"
"721","andi1255","akhv1239",94373,76753,"OK",45374.7804025257,"Greater Mesopotamia","Greater Mesopotamia"
"722","arch1244","akhv1239",100302,81371,"OK",43853.1860389849,"Greater Mesopotamia","Greater Mesopotamia"
"723","bagv1239","akhv1239",39279,33302,"OK",16414.2288600793,"Greater Mesopotamia","Greater Mesopotamia"
"724","bezh1248","akhv1239",83169,69236,"OK",38291.2287484044,"Greater Mesopotamia","Greater Mesopotamia"
"725","botl1242","akhv1239",83989,68040,"OK",41663.5098150604,"Greater Mesopotamia","Greater Mesopotamia"
"726","cham1309","akhv1239",54246,45767,"OK",27787.6369317792,"Greater Mesopotamia","Greater Mesopotamia"
"727","dido1241","akhv1239",98746,81171,"OK",43377.9287797407,"Greater Mesopotamia","Greater Mesopotamia"
"728","ghod1238","akhv1239",85322,69223,"OK",38667.7359205596,"Greater Mesopotamia","Greater Mesopotamia"
"729","hinu1240","akhv1239",81401,67036,"OK",41241.2119041079,"Greater Mesopotamia","Greater Mesopotamia"
"730","hunz1247","akhv1239",84562,69487,"OK",38132.142141519,"Greater Mesopotamia","Greater Mesopotamia"
"731","kara1474","akhv1239",75828,63381,"OK",27824.4270783225,"Greater Mesopotamia","Greater Mesopotamia"
"732","khva1239","akhv1239",69558,58919,"OK",28823.8862198412,"Greater Mesopotamia","Greater Mesopotamia"
"733","tind1238","akhv1239",83126,70404,"OK",32257.8258466119,"Greater Mesopotamia","Greater Mesopotamia"
"757","atii1237","akla1241",76972,56470,"OK",47793.6706587151,"Oceania","Oceania"
"758","sulo1237","akla1241",64098,47123,"OK",40375.6629992347,"Oceania","Oceania"
"759","apal1255","akol1237",41574,30796,"OK",25545.3607222834,"N Coast New Guinea","N Coast New Guinea"
"760","avau1237","akol1237",68067,51630,"OK",27173.7296770062,"N Coast New Guinea","N Coast New Guinea"
"761","karo1298","akol1237",53529,39359,"OK",31458.5471158796,"N Coast New Guinea","N Coast New Guinea"
"762","lesi1239","akol1237",79845,60680,"OK",35994.4384160114,"N Coast New Guinea","N Coast New Guinea"
"764","bafa1247","akoo1248",62433,48182,"OK",45992.7674050816,"African Savannah","African Savannah"
"765","baka1273","akoo1248",47851,36502,"OK",21544.9058419402,"African Savannah","African Savannah"
"766","bass1260","akoo1248",70960,55592,"OK",37737.1026627297,"African Savannah","African Savannah"
"767","bonk1243","akoo1248",45606,35962,"OK",31706.322540494,"African Savannah","African Savannah"
"768","mboc1235","akoo1248",46855,35909,"OK",38579.2999464345,"African Savannah","African Savannah"
"776","idom1241","akpa1238",51377,37275,"OK",36725.3152236572,"African Savannah","African Savannah"
"777","akuk1235","akpe1248",53256,39460,"OK",44123.0311664742,"African Savannah","African Savannah"
"778","arig1246","akpe1248",24528,17926,"OK",9461.69829601299,"African Savannah","African Savannah"
"823","ayer1245","akuk1235",47167,34231,"OK",38000.5517129482,"African Savannah","African Savannah"
"837","yekh1238","akuk1235",57036,41749,"OK",35566.9192184198,"African Savannah","African Savannah"
"861","alco1235","alac1244",34222,26734,"OK",15870.8598702392,"Mesoamerica","Mesoamerica"
"863","sila1250","alac1244",71525,56787,"OK",37859.7148734052,"Mesoamerica","Mesoamerica"
"865","west2643","alac1244",69278,54463,"OK",34884.367332981,"Mesoamerica","Mesoamerica"
"900","irig1242","alba1269",40638,30463,"OK",27339.1700962008,"Oceania","Oceania"
"901","mtir1235","alba1269",36614,27441,"OK",28836.8689757208,"Oceania","Oceania"
"902","mtir1236","alba1269",31804,24203,"OK",29702.3479373286,"Oceania","Oceania"
"903","juxt1235","alco1235",68214,56561,"OK",40663.9832266763,"Mesoamerica","Mesoamerica"
"905","metl1238","alco1235",79491,66835,"OK",36027.9435267141,"Mesoamerica","Mesoamerica"
"909","bekw1241","aleg1238",26637,19699,"OK",22142.9397838948,"African Savannah","African Savannah"
"910","bete1262","aleg1238",35047,25467,"OK",22082.7716297403,"African Savannah","African Savannah"
"911","buma1244","aleg1238",98480,71210,"OK",42595.4283235316,"African Savannah","African Savannah"
"914","oban1244","aleg1238",49920,36212,"OK",32241.3175272948,"African Savannah","African Savannah"
"916","putu1241","aleg1238",11676,8685,"OK",8690.84173809335,"African Savannah","African Savannah"
"917","tivv1240","aleg1238",56596,41252,"OK",42828.5060985496,"African Savannah","African Savannah"
"919","ukpe1247","aleg1238",7709,5671,"OK",7679.53696160054,"African Savannah","African Savannah"
"920","yace1238","aleg1238",63097,46213,"OK",33013.2431589057,"African Savannah","African Savannah"
"922","asas1240","alek1238",218553,166891,"OK",42446.5943543118,"Interior New Guinea","Interior New Guinea"
"924","biyo1244","alek1238",272266,205689,"OK",27033.7136374386,"Interior New Guinea","Interior New Guinea"
"925","chua1250","alek1238",56754,43501,"OK",31525.0053299083,"Interior New Guinea","Interior New Guinea"
"927","dump1243","alek1238",199973,153284,"OK",38404.9658078652,"N Coast New Guinea","Interior New Guinea"
"935","kesa1244","alek1238",210263,160857,"OK",36975.2082817,"Interior New Guinea","Interior New Guinea"
"936","keya1238","alek1238",80772,62757,"OK",49386.9197427534,"Interior New Guinea","Interior New Guinea"
"941","saus1246","alek1238",224231,171031,"OK",40843.8531983282,"Interior New Guinea","Interior New Guinea"
"943","sina1271","alek1238",61681,47057,"OK",39664.5844959037,"Interior New Guinea","Interior New Guinea"
"945","tauy1241","alek1238",267813,202517,"OK",33084.9012568995,"Interior New Guinea","Interior New Guinea"
"946","toka1244","alek1238",21556,16447,"OK",9934.98939952242,"Interior New Guinea","Interior New Guinea"
"948","yaga1260","alek1238",44718,33488,"OK",31762.0066273509,"Interior New Guinea","Interior New Guinea"
"950","aluk1238","alla1247",88967,65747,"OK",33266.4405359406,"Indic","Indic"
"951","bada1257","alla1247",73610,56197,"OK",26384.9296361841,"Indic","Indic"
"952","jenn1240","alla1247",116532,89742,"OK",48033.0660927577,"Indic","Indic"
"953","kada1242","alla1247",22161,16621,"OK",7884.44878984578,"Indic","Indic"
"955","mull1244","alla1247",71984,55768,"OK",23763.9955910926,"Indic","Indic"
"956","ural1274","alla1247",78431,59001,"OK",29754.3062539786,"Indic","Indic"
"957","apro1235","alla1248",13299,9617,"OK",10836.5913140328,"African Savannah","African Savannah"
"962","apas1235","aloa1235",120613,95322,"OK",40823.4818691839,"Mesoamerica","Mesoamerica"
