la	lb
kaib1244	alun1238
kaid1239	bint1245
kaid1239	goro1259
kaie1237	elep1240
kaik1244	decc1239
kaik1246	east2354
kaik1247	bhel1238
kaik1247	bila1255
kaim1235	avac1239
kaim1241	bone1254
kaim1241	buso1238
kain1272	guen1235
kair1263	boik1241
kair1265	habu1241
kais1235	kabu1249
kaiw1246	chir1286
kaiw1246	inga1254
kaja1247	gurg1241
kaja1254	birg1239
kajk1237	croa1242
kaka1264	gupa1248
kaka1265	jaha1245
kaka1267	dawa1242
kako1242	gund1247
kakw1240	arin1244
kakw1240	bari1284
kala1376	brok1248
kala1376	bugu1246
kala1377	atam1239
kala1379	badi1246
kala1381	abur1244
kala1381	dege1246
kala1383	jams1239
kala1384	birw1238
kala1388	gian1241
kala1391	iran1262
kala1394	bone1254
kala1399	east2534
kala1399	icel1248
kala1400	alse1251
kala1400	cowl1242
kali1308	coeu1236
kalk1246	bula1255
kalm1243	boht1238
kalm1243	erzy1239
kalo1256	esto1238
kalo1256	finn1310
kalo1262	amal1242
kalu1247	budo1241
kalu1248	aime1238
kama1350	bhun1242
kama1350	halb1244
kama1357	degg1238
kama1358	ikul1238
kama1358	jjuu1238
kama1358	kada1284
kama1362	alun1238
kama1362	haru1244
kama1363	diba1242
kama1365	abui1241
kama1370	abag1245
kama1372	acro1239
kama1372	coto1237
kamb1239	fuln1247
kamb1299	anak1240
kamb1302	buru1308
kamb1302	irar1238
kamb1303	binu1245
kamb1303	gads1258
kamb1316	alab1254
kamb1316	hadi1240
kami1258	dibo1247
kami1258	gbar1246
kami1258	ijaz1238
kami1258	kaka1264
kamo1254	awak1250
kamo1255	ekar1243
kamo1256	bidy1244
kamu1260	aime1238
kamw1239	fali1285
kana1281	braj1242
kana1281	indi1237
kana1286	bunu1267
kana1288	bina1271
kana1288	ginu1240
kana1291	arua1263
kana1291	cash1253
kana1291	deni1241
kand1300	bubi1250
kand1301	gura1254
kand1303	gend1249
kane1243	budu1265
kane1243	chad1249
kane1243	daza1242
kang1280	bila1253
kang1280	gadd1242
kang1281	amdo1237
kang1285	asoa1238
kang1285	bali1274
kang1286	bwaa1238
kang1291	anda1284
kang1291	arua1260
kani1281	idun1242
kani1282	bipi1237
kani1282	herm1237
kani1283	kani1282
kani1285	bisi1244
kani1286	inok1238
kanj1259	baur1251
kanj1260	aghu1254
kanj1260	gugu1256
kank1244	arhu1242
kank1244	japr1238
kano1244	emba1238
kano1244	iban1264
kano1245	djeo1235
kano1245	iton1250
kanu1277	fira1238
kanu1277	izer1241
kanu1277	kani1277
kapi1248	kamb1239
kapi1250	damb1246
kapp1237	arue1240
kapr1245	alam1246
kapr1245	iatm1242
kapr1245	kani1285
kapy1238	bukw1238
kaqc1270	cakc1235
kara1289	coah1252
kara1462	dark1243
kara1462	kama1351
kara1464	bela1254
kara1465	abkh1244
kara1465	kaba1278
kara1467	bukh1238
kara1474	akhv1239
kara1474	ghod1238
kara1482	gula1266
kara1487	ahin1234
kara1489	dava1245
kara1489	diba1242
kara1495	auuu1241
kara1495	awun1245
kara1497	ikob1240
kara1500	avac1239
karb1241	dima1251
kare1335	finn1318
kare1339	bara1367
kare1339	east2465
kare1341	amai1246
kare1348	bade1248
kare1348	duwa1244
kari1301	emer1243
kari1303	aghw1237
kari1306	bodo1272
kari1317	kari1311
kark1256	amas1236
kark1258	ango1254
kark1258	emum1240
kark1259	achu1247
karo1297	daas1238
karo1297	hame1242
karo1298	apal1255
karo1299	ataa1240
karo1299	hili1240
karo1303	abun1252
karo1305	cint1239
karo1305	gavi1246
kasa1248	bain1259
kase1253	buli1254
kase1253	fare1241
kase1253	kant1249
kash1277	bate1261
kash1280	coas1301
kash1280	east2545
kasi1256	casi1235
kasu1251	fasu1242
kasu1251	kalu1248
kasu1251	kara1497
kata1270	juma1249
katc1249	kang1288
kath1251	boly1239
kaul1240	aikl1237
kaul1240	gimi1242
kaur1267	guya1249
kaur1269	cent2053
kaur1269	engg1245
kaur1269	haji1235
kaur1271	kapo1250
kauw1242	burm1264
kava1241	atay1247
kava1241	basa1287
kawa1276	kama1360
kawe1240	gebe1237
kaxa1239	apur1254
kaxa1239	esee1248
kaxa1239	kari1312
kaxu1237	apal1257
kaya1315	geba1237
kaya1319	gang1267
kaya1320	ahin1234
kaya1320	iwak1237
kaya1324	aohe1237
kaya1324	baha1257
kaya1325	buki1248
kaya1328	asue1235
kaya1328	atoh1238
kaya1330	apia1247
kaya1330	araw1273
kaye1241	ambe1248
kayo1245	cuaa1241
kayo1245	katu1273
kayt1238	anma1239
kaza1248	bukh1238
kazu1245	hoav1238
keak1239	ambu1247
keak1239	gaik1242
keap1239	hula1239
kede1239	dabe1239
kehu1238	auye1238
kehu1238	daoo1238
keig1242	kang1288
keii1239	band1355
kekc1242	chor1273
kela1254	hamb1245
kela1255	iwal1237
kela1258	buki1248
kele1257	beng1282
kele1257	eviy1235
kele1258	andr1248
kele1258	eree1241
kele1259	kara1487
keli1248	kakw1240
kelo1246	bert1248
kelo1246	buru1301
kelo1246	gaam1241
kelo1247	kafo1240
kema1243	buna1278
kemb1235	aran1237
kemb1249	buka1257
kemb1249	jang1257
keme1240	biky1238
keme1240	cung1238
kemi1239	kare1335
kemt1242	gres1240
kena1236	jahh1242
kena1250	baru1267
kend1252	busa1251
kend1254	beka1241
keni1249	book1241
kens1248	keda1251
kens1251	baba1266
kens1251	bamu1256
keny1241	embu1241
keny1241	kamb1297
keny1278	gwer1238
keny1279	came1254
keny1279	ejag1239
keny1279	kend1252
keor1235	akoy1238
kera1248	ejam1238
kera1255	gize1234
kere1283	kara1481
kere1285	hovo1239
kesa1244	asas1240
kesa1244	dump1243
kesa1244	isab1240
keta1243	kava1241
kete1252	kany1247
kett1243	fore1265
keya1238	fore1270
keya1238	kani1286
khak1248	even1259
kham1291	aona1235
kham1291	deor1238
khan1273	cent2322
khan1273	fore1274
khan1278	anaa1238
khar1283	asur1254
khar1283	bhar1241
khar1283	bijo1238
khar1287	bijo1238
khay1238	adho1243
khee1238	dogo1294
khen1241	gong1251
khet1238	cent1973
khet1238	kamv1242
khez1235	chok1243
khis1238	khee1238
khlu1236	baha1256
khlu1236	emab1235
khmu1256	iumi1238
khoi1250	asht1244
khor1269	aima1241
khue1238	bitt1240
khum1248	haka1240
khun1255	clas1253
khun1255	kaba1276
khva1239	bagv1239
khva1239	bezh1248
kibe1241	kaja1254
kibi1239	kere1286
kich1262	kaqc1270
kick1244	hoch1243
kika1239	cham1312
kiku1240	keny1241
kild1236	akka1237
kili1267	avau1237
kili1267	guma1254
kimb1242	gogo1263
kimd1235	chir1286
kimm1246	besm1235
kimm1246	hama1241
kimr1241	gabr1253
kina1250	atii1237
kina1250	hili1240
kina1251	gitu1237
kinn1249	chit1279
kinn1249	jang1254
kint1239	jeha1242
kint1239	kens1248
kinu1239	bina1270
kinu1239	doka1242
kiny1244	chig1238
kiny1244	hund1239
kiok1239	kama1364
kion1242	bakp1238
kion1242	efik1245
kiow1264	coma1245
kipe1235	kamb1239
kipu1237	brun1242
kirb1236	juuu1243
kire1240	bosn1248
kirg1245	ainu1251
kirg1245	dung1253
kiri1254	iban1261
kiri1254	kala1381
kiri1256	edop1238
kiri1256	fayu1238
kirm1248	capp1239
kirm1248	diml1238
kiry1234	fali1285
kiry1234	gude1246
kiry1234	huba1236
kiss1246	buna1277
kiss1246	elep1240
kiss1246	kama1367
kist1241	ethi1238
kita1247	chin1476
kita1249	bama1249
kita1249	bamb1269
kita1249	kago1248
kite1237	guar1292
kite1237	jora1240
kitj1240	goon1238
kitj1240	jaru1254
kits1249	afro1254
kits1249	chic1270
kitu1245	beem1239
kitu1245	ibal1241
klao1243	dewo1238
klao1243	gola1255
koal1240	kada1282
koas1236	atak1252
koba1240	bara1367
koba1240	dobe1238
kobo1249	haru1245
kobo1249	kala1397
koch1247	bhoj1244
koch1250	bodo1269
koch1250	garo1247
koch1250	hajo1238
koda1236	hooo1248
koda1254	khir1237
koda1255	bell1261
kodi1246	bakw1243
kodi1246	godi1239
kodi1246	guib1246
kofe1239	demi1242
kofy1242	cakf1236
kohi1248	chil1275
kohi1248	gowr1239
kohi1250	keni1248
koii1238	caml1239
koit1244	hiri1237
koiw1243	chan1319
koka1244	adny1235
koka1244	bang1339
koke1240	bare1279
koke1240	bolg1251
koke1240	fani1244
kokn1236	areb1238
kokn1236	gugu1254
kokn1236	gurd1238
koko1265	argu1237
koko1265	kabu1249
kola1285	kamo1255
kolb1240	dugu1248
koli1253	cent2089
kols1241	germ1281
kolu1245	bwai1242
kolu1245	iama1237
koma1266	gimn1238
komb1272	arue1240
komc1235	bamb1266
kome1238	bang1365
komi1271	brer1240
komi1271	igan1243
komi1277	cent2322
komi1277	komi1268
komi1277	komi1269
komo1258	anfi1235
komo1260	bwel1238
komo1261	bima1247
komp1237	batu1258
komp1237	kola1285
kona1242	femb1238
kond1295	adiv1239
kond1295	bodo1267
kond1303	kais1235
kone1241	guma1253
konk1269	anuf1239
konk1269	dagb1246
konn1242	biss1248
kono1241	hupa1239
kono1241	karo1304
kono1264	bina1270
kono1264	gbir1241
kono1265	kimb1242
kono1267	dann1241
kono1268	bomk1234
kono1269	gura1254
kons1243	burj1242
kons1243	dira1242
kons1243	gaww1239
kony1248	chan1313
kony1250	guin1254
kony1250	kono1267
koon1244	east2782
koon1244	kitu1245
koon1245	kolc1235
koor1239	dira1242
koor1239	gede1246
kopk1238	awbo1238
kora1291	cent2194
kora1294	arif1239
kora1296	brem1238
kore1279	gura1251
kore1280	kore1273
korl1238	katk1238
koro1304	ejag1239
koro1304	kion1242
koro1309	eluu1241
koro1311	bung1269
koro1312	buru1307
koro1312	komb1274
koro1312	komy1238
koro1313	daan1235
koro1316	aito1238
koro1316	deor1238
koru1247	demu1235
korw1242	koda1254
kory1246	alut1245
kory1246	chuk1273
kory1246	kere1280
kosa1249	angg1239
kosa1249	kapo1250
kosa1251	kaur1271
kosa1251	kemb1250
kosh1246	fang1248
kota1263	aluk1238
kota1275	ampa1239
kota1279	kima1244
kota1279	kota1278
kott1239	arin1243
kott1239	chul1246
kott1239	kama1351
kouy1238	guro1248
kova1243	karn1252
kove1237	bola1250
kowa1245	bepo1240
kowi1239	band1355
kowi1239	buru1308
koya1253	ceba1235
koyo1242	akwa1248
koyr1240	jena1242
koyr1242	hass1238
koyr1242	humb1243
koys1242	cent1972
koys1242	gura1251
koyu1237	eski1266
kpag1238	gobu1238
kpal1241	furu1242
kpal1241	gban1258
kpan1246	famm1241
kpan1246	juku1254
kpas1242	bali1245
kpat1246	kpan1246
kpee1234	duun1242
kpee1234	jowu1238
kpes1238	bago1245
kpes1238	giny1241
kpes1238	ifee1241
kpla1238	dwan1238
kpla1238	gonj1241
krac1238	chal1269
krac1238	chum1261
krah1246	apin1244
krao1238	cent1992
kren1239	coro1249
krey1238	cane1242
krey1238	guaj1256
krik1239	apin1244
krik1239	aura1243
krik1239	cane1242
krio1252	gara1269
kris1246	kilm1241
krob1245	abid1235
krob1245	anyi1244
kron1241	dagi1241
krun1240	kave1238
krun1240	krao1238
kryt1240	budu1248
kryt1240	khin1240
kuaa1238	hoaa1235
kuan1246	bola1249
kuan1249	kuam1234
kube1244	boro1279
kube1244	dedu1240
kubi1239	deno1239
kubi1239	gera1246
kubo1242	femb1238
kubu1239	jamb1236
kubu1239	keri1250
kuco1235	biyo1243
kudm1238	khar1288
kudu1241	gamo1241
kudu1241	haus1257
kugb1241	abua1244
kugb1241	abur1244
kuii1252	bodo1266
kuii1252	bond1245
kuii1253	kama1365
kuij1237	gana1277
kuij1237	keni1249
kuik1246	kama1373
kuja1239	dars1235
kuja1239	fong1243
kuja1239	kibe1241
kuka1246	jaru1254
kuke1242	iged1239
kuku1273	dyaa1242
kuku1273	gugu1255
kuku1282	kuku1280
kuku1283	kuku1280
kuku1283	kuku1281
kule1247	horo1245
kulf1238	fani1244
kulf1238	gula1269
kuli1255	koru1247
kull1236	gahr1239
kull1236	hari1246
kull1236	kana1283
kulo1237	bunu1267
kulu1253	khal1275
kuma1273	jadd1243
kuma1274	bagh1251
kuma1274	hooo1248
kuma1275	keny1278
kuma1276	bala1316
kuma1278	kapi1250
kuma1280	domm1246
kuma1280	kand1303
kumb1238	dong1293
kumb1238	kuga1239
kumb1268	band1339
kumb1268	dyan1250
kumh1238	bote1238
kumh1238	dara1250
kumi1248	ipai1240
kumu1247	kina1251
kumy1244	andi1255
kumy1244	darg1241
kumz1235	east2304
kunb1251	djee1236
kung1258	guwa1242
kung1260	abar1238
kung1261	haio1238
kung1261	here1253
kuni1267	guhu1244
kuni1268	cent2126
kunj1245	areb1238
kunj1245	djan1238
kunj1246	gunt1241
kunm1234	awuu1235
kuny1238	bwis1242
kupa1238	kaka1264
kupa1239	amar1273
kupa1239	helo1243
kupi1238	chen1255
kupi1238	koya1251
kups1238	kara1483
kura1248	anii1245
kura1248	food1238
kura1249	ikug1238
kura1249	kinu1239
kura1250	east2426
kuri1256	aran1261
kuri1256	kudi1237
kuri1259	kabw1241
kuri1260	dusn1237
kuri1260	irar1238
kuri1271	itel1242
kurm1243	athp1241
kurm1243	chhu1238
kurm1243	dung1252
kurr1245	ford1242
kurr1245	keii1239
kurt1248	bumt1240
kurt1248	choc1275
kurt1250	eluu1241
kuru1302	hooo1248
kuru1305	bara1375
kusa1251	duke1237
kush1236	khol1240
kust1238	baka1277
kuta1241	bara1357
kute1248	juku1254
kute1248	kapy1238
kute1249	kali1308
kuth1240	guga1239
kuth1240	gurd1238
kutt1236	jara1274
kutu1262	doka1242
kutu1262	ikul1238
kutu1262	jjuu1238
kuun1236	kung1258
kuvi1243	bond1245
kuwa1246	gube1234
kuwa1246	jola1262
kuwa1246	kera1248
kuwa1247	band1352
kven1236	inar1241
kwaa1262	dzaa1238
kwaa1269	giiw1236
kwaa1269	kamo1254
kwaa1269	kutt1236
kwad1248	hadz1240
kwad1248	iraq1241
kwai1243	dori1246
kwai1243	gula1270
kwaj1242	cent2312
kwaj1242	fumm1238
kwak1266	byep1241
kwak1266	gbay1281
kwak1269	como1259
kwak1269	heil1246
kwam1249	hozo1236
kwam1250	bwel1238
kwam1250	kanu1278
kwam1251	kuan1247
kwam1252	anei1239
kwam1252	futu1245
kwan1273	diri1252
kwan1278	hang1263
kwan1285	gada1262
kwar1239	fata1245
kwar1239	gula1270
kwas1243	gyel1242
kwat1244	dudu1240
kwat1244	jili1241
kwat1246	coch1272
kwat1246	kili1268
kway1241	jita1239
kway1241	kere1283
kwaz1243	kepk1241
kweg1241	karo1297
kwer1261	doee1238
kwer1261	kami1256
kwer1263	burm1264
kwer1264	dout1240
kwer1264	kaiy1239
kwer1265	buru1307
kwer1265	kopk1238
kwes1245	beri1254
kwin1241	gamb1251
kwin1243	araw1276
kwin1243	cari1275
kyak1243	bang1348
kyak1243	dadi1249
kyak1243	kwaa1262
kyak1244	boun1245
kyak1244	enga1252
kyen1242	dend1243
kyen1243	bunn1240
kyer1238	bara1357
kyer1238	hela1238
laal1241	buam1238
laal1241	cwib1235
laal1242	boor1242
laar1238	kimb1241
laar1238	koon1244
labe1239	bilu1244
labe1239	kand1301
labi1244	kara1478
labi1244	kuoo1238
labi1245	geji1246
labi1245	gyem1238
labo1243	anip1235
labo1243	bokh1237
labo1243	hlep1236
labu1248	arib1240
labu1248	arib1241
labu1249	abai1240
labu1249	dump1242
laca1243	chia1262
laca1243	itza1241
lach1248	baha1256
lach1248	emab1235
lach1248	kimm1245
lach1249	asun1236
lach1249	ayoq1235
lach1250	guev1238
lada1244	chan1309
ladi1250	bava1246
ladi1250	cimb1238
ladi1250	friu1240
laek1243	beli1258
laek1243	gnau1240
lagh1245	hmon1332
lagh1246	koko1269
lagw1237	bagi1246
lagw1237	jina1244
laha1250	khan1274
laha1251	ambo1250
laha1251	asil1242
laha1253	kaja1250
lahu1250	chin1475
lahu1252	akha1245
lahu1253	bisu1244
lahu1253	kado1242
laim1240	bafu1246
laim1240	befa1241
laiy1246	kala1394
laka1252	bile1244
laka1254	kaba1281
laka1255	idat1237
lakh1240	brok1249
laki1244	cent1972
laki1244	gazi1243
lakk1238	daga1277
lakk1238	jion1236
lakk1252	aghu1253
lakk1252	arch1244
lakk1252	darg1241
lako1244	egaa1242
lako1244	gabo1234
lako1245	koro1308
lako1247	chey1247
laku1238	kara1486
lala1261	dera1248
lala1264	aush1241
lala1268	abad1241
lala1268	kuni1263
lala1270	choa1237
lali1242	kela1254
lama1275	giky1238
lama1275	kabi1261
lama1277	adon1237
lama1288	dghw1239
lama1288	gvok1239
lamb1269	goan1235
lamb1271	aush1241
lamb1273	kodi1247
lamb1276	agua1253
lamb1276	caja1238
lame1256	khun1259
lame1257	haus1257
lame1260	bier1244
lamj1245	dong1293
lamk1238	anal1239
lamk1238	khoi1251
lamm1241	baik1238
lamm1241	keda1252
lamn1239	came1252
lamo1244	gimi1242
lamp1242	haji1235
lamp1242	kome1238
lamp1243	badu1237
lamp1243	haji1235
lamu1254	flin1247
lana1236	book1241
land1256	krio1253
lang1316	baha1256
lang1316	emab1235
lang1316	hmon1332
lang1316	khlu1236
lang1316	lach1248
lang1318	gban1258
lang1318	kpag1238
lang1320	alag1248
lang1320	buru1320
lang1322	dong1294
lang1324	kara1483
lang1324	kuma1275
lang1328	biwa1243
lanp1241	cent2004
laom1237	bisu1244
laom1237	lahu1253
lapu1236	cent2089
lara1258	kung1259
lara1260	lama1277
lard1243	kaya1319
lari1253	khol1241
lari1255	asil1242
laro1243	koal1240
lart1238	adam1238
lart1238	adan1247
lart1238	cher1271
laru1238	boko1266
lasa1237	kama1364
lasa1237	kumb1274
lash1243	chas1234
lash1243	kach1280
lati1261	ital1275
latu1237	kama1362
latu1238	aika1237
latv1245	esto1258
latv1249	latv1245
laua1245	daga1275
lauj1238	damp1237
lauu1247	baeg1237
lauu1247	fata1245
lave1249	jeng1241
lawa1257	dusu1271
lawu1237	bann1247
lawu1238	ches1238
lawu1238	east2696
lawu1238	hler1235
lazz1240	abaz1241
lazz1240	kirm1248
leal1235	choa1237
leco1242	apol1242
leco1242	call1235
lefa1242	dimb1238
lega1249	bang1350
lega1250	lega1249
legb1242	kohu1244
lege1241	bata1295
leha1244	leha1243
lela1246	bint1246
lela1246	kipu1237
lele1266	east2426
lele1270	koro1309
lele1270	leip1237
lemb1266	anda1283
leme1238	leha1244
lemo1242	amoo1242
lemo1242	izor1238
lena1238	dehu1237
lenc1242	caca1247
lenc1242	hond1239
lenc1243	caca1247
lend1245	alur1250
lend1245	bend1260
leng1259	bira1254
leng1259	dori1246
leng1262	guan1268
leni1238	gudj1237
lenj1248	lamb1271
lenn1234	kala1377
leny1238	cros1244
leny1238	efut1242
lepc1244	ahom1240
lepc1244	dhim1246
lepk1238	kemb1250
lepk1238	kete1254
lese1243	bila1255
lese1243	efee1239
lesi1239	avau1237
lete1241	dixo1238
levu1239	ilea1237
levu1239	lama1278
lewo1242	bier1246
lewo1243	keda1252
lewo1243	lama1279
lewo1244	lara1260
leyi1238	agoi1246
leyi1238	leny1238
lezg1247	khin1240
lhok1238	bodo1269
lhok1238	dzon1239
lian1252	buna1273
lian1252	cent2009
lian1252	east2363
lian1252	ennn1243
lian1252	guib1244
lian1252	guib1245
lian1255	beng1287
lian1259	hakk1236
libe1240	dewo1238
libe1247	kuwa1247
libe1247	libe1240
libi1244	boza1238
libi1244	dzan1238
libi1250	kist1241
liby1235	awji1241
liby1240	bilm1238
ligb1244	abro1238
ligb1244	gbin1239
lige1238	boma1246
lige1238	budz1238
ligu1248	cors1241
lihi1237	baro1253
liji1238	alag1242
liji1238	eggo1239
liji1238	eloy1241
lika1243	budu1250
lika1243	kang1285
liki1240	boko1263
liki1240	libi1244
liku1243	kheh1237
likw1239	bang1354
likw1239	bong1284
likw1239	koyo1242
likw1239	liku1242
lill1248	chil1280
limb1263	acht1238
limb1266	kulu1253
limo1248	itaw1240
lind1248	ledo1238
ling1262	hain1237
ling1262	hlai1239
ling1263	bafo1235
ling1265	katb1237
lioo1240	ende1246
lisa1239	alun1238
lisa1239	boan1242
lise1239	buru1303
lise1239	kaye1241
lish1235	brok1248
lish1245	adyg1241
lish1245	crim1257
lish1246	kari1303
lish1246	kore1279
lish1247	anci1244
lish1247	jude1263
lisu1250	bual1235
lith1236	kash1274
lith1236	latv1249
lith1251	kara1464
lith1251	lith1236
lito1235	dzan1238
litz1237	lare1249
liuj1238	buna1273
liuj1238	cent2009
liuj1238	east2363
liuj1238	ennn1243
liuj1238	guib1244
liuj1238	guib1245
liuj1238	lian1252
liuq1235	buna1273
liuq1235	cent2009
liuq1235	east2363
liuq1235	ennn1243
liuq1235	guib1244
liuq1235	guib1245
liuq1235	lian1252
liuq1235	liuj1238
livv1243	finl1235
livv1243	ingr1248
livv1244	esto1238
livv1244	latv1249
lizu1234	laze1238
loba1239	bomb1261
loba1239	bonj1234
lodh1246	juan1238
logb1245	avat1244
logo1258	idak1243
logo1259	beek1238
logu1236	camp1261
logu1236	gall1276
loka1252	agoi1246
loka1252	agwa1247
loka1252	kohu1244
loko1255	bomm1240
lola1248	dobe1238
lolo1259	aluo1235
lolo1259	lipo1242
lolo1264	gora1261
lolo1264	ibuu1240
loma1235	arme1259
loma1235	kore1279
loma1260	kuwa1247
loma1261	fiji1243
loma1261	laua1243
lomb1254	bali1274
lomb1254	komo1260
lomb1260	kele1255
lonc1237	bang1365
lonc1237	jamb1236
long1387	adam1253
long1387	doya1240
long1387	kolb1240
long1389	cent2045
long1395	bira1254
long1406	east2486
long1406	kela1258
long1417	aoua1234
loni1238	lele1270
lonw1238	daka1243
looo1238	bura1271
looo1238	khol1240
lopa1238	cuba1236
lopa1238	laru1238
lopi1242	dong1294
lora1237	dobe1238
lore1243	coca1259
lore1244	butm1237
loto1240	hiww1237
loto1240	leha1243
loui1240	caju1236
loui1240	chit1248
loun1239	huau1237
louu1245	balu1257
louu1245	lenk1247
lowe1388	czec1258
lowe1403	darl1243
lowe1407	huaa1248
lowe1407	kgal1244
lowe1412	gada1258
lowe1412	limo1248
lowe1415	hupl1238
lowe1425	gwic1235
lowe1425	koyu1237
lowl1260	high1242
lowl1265	cent2131
lowl1265	guaz1234
lozi1239	fwee1238
luan1263	east2472
luan1263	leti1246
luba1249	binj1249
luba1249	bush1247
luba1250	hemb1242
luba1250	kany1247
lubi1238	doko1243
lubu1241	bata1291
lubu1243	bana1288
lucu1238	cuba1235
ludi1246	kare1335
ludi1246	livv1243
lufu1237	ambo1249
lufu1237	bais1242
lugu1238	kami1256
lugu1238	kutu1263
luhu1243	boan1242
luhu1243	kaib1244
luis1253	cahu1264
luis1253	ipai1240
lukp1238	kura1248
lumb1249	bara1362
lumb1249	bwis1242
lumu1239	ache1245
luna1243	lakh1240
luna1243	laya1253
lund1266	chok1245
lund1266	kaon1241
lund1271	bela1260
lund1271	long1406
lung1249	ghan1242
luok1236	gusi1247
luop1235	gela1264
lure1234	aoua1234
lure1234	larg1235
luse1252	bolo1262
lush1252	clal1241
lusi1240	anem1249
luto1241	geme1244
luuu1242	iumi1238
luuu1242	khue1238
luuu1242	lahu1252
luva1239	luch1239
luva1239	lund1266
luwo1239	bela1256
luwo1239	bong1285
lwal1238	binj1249
lwal1238	kete1252
lwel1234	bush1247
lwel1234	lele1265
lyng1241	aton1241
lyon1239	espe1235
lyon1239	inte1239
maaa1253	bude1236
maaa1253	chra1242
maas1239	buam1238
maay1238	garr1259
maay1238	giri1245
maba1273	jumj1238
maba1273	kwam1249
maba1277	kaja1254
maba1277	kend1253
maba1278	buli1255
maba1279	adas1235
maba1279	bana1288
maba1279	limo1248
mabe1235	esee1248
mabe1235	inap1243
maca1259	ango1257
mace1250	arom1237
mace1250	gheg1238
mach1267	caqu1242
mach1268	mabe1235
macu1258	guer1242
macu1258	kren1239
mada1282	kago1247
mada1285	baro1253
mada1285	lava1239
made1252	bara1361
made1253	bata1295
madi1260	acol1236
madi1260	arin1244
madi1261	awad1244
madi1261	bulg1265
madi1261	lemi1243
madn1237	kamu1258
madu1248	bala1310
madu1248	butb1235
madu1248	lowe1412
mafa1239	gvok1239
maga1260	kuru1302
maga1263	boto1242
maga1264	ataa1240
magh1238	khol1240
magh1238	kulu1255
magi1241	amba1267
magi1241	boto1242
magu1243	ilia1236
maha1287	jaun1243
maha1291	juan1238
maha1291	koda1236
mahi1248	laur1250
maho1248	kota1274
maho1249	kono1267
maia1251	bose1237
maia1251	gale1257
maia1254	maia1253
maib1239	kais1235
maib1239	karo1303
maii1238	baki1244
maii1238	bier1246
mail1248	bina1271
main1267	germ1281
main1272	chuw1238
main1275	bint1246
maip1246	bani1254
maip1246	maco1239
mais1250	baru1269
mais1250	dogh1241
mais1250	gain1243
mait1250	angi1238
maiw1249	haig1237
maiw1250	duri1242
maiw1250	kode1237
maiw1251	daga1275
maja1242	anfi1235
maja1242	anua1242
maje1243	bald1241
maje1243	jina1244
majh1236	bijo1238
majh1236	korw1242
majh1253	chau1259
majh1253	kuma1273
majh1253	kusu1250
maka1304	byep1241
maka1304	kolc1235
maka1305	high1275
maka1311	high1275
maka1315	abom1238
maka1315	bitu1242
maka1315	gogo1265
makc1235	aich1238
makh1262	koti1238
makh1264	lomw1241
makh1265	chuw1238
makh1265	makh1262
makh1266	makh1264
makn1235	leel1242
makn1235	looo1238
mako1251	makh1261
maku1246	guar1293
maku1273	khia1236
maku1277	fata1247
maku1277	leti1246
maku1278	djeo1235
maku1278	kuyu1236
makw1236	mach1265
makw1236	mako1251
mala1256	makh1260
mala1412	bata1290
mala1432	capo1236
mala1459	dhiv1236
mala1459	kani1275
mala1468	kani1275
mala1468	mala1463
mala1475	barw1243
mala1475	koko1267
mala1479	baba1267
mala1479	jaku1244
mala1480	kohi1250
mala1481	bant1286
mala1489	domu1246
mala1491	akla1241
mala1491	calu1238
mala1491	inon1237
mala1494	lila1246
mala1494	maia1254
mala1495	brem1238
mala1495	dimi1244
mala1522	kank1244
mala1533	mala1479
mala1533	mala1482
mala1544	dama1278
malb1235	lobi1245
male1282	chut1247
male1282	kuan1246
male1284	buss1239
male1289	amar1272
male1291	bong1291
male1292	east2544
male1297	huet1235
mali1279	lamb1272
mali1279	mago1246
mali1280	bako1249
mali1280	isuf1235
mali1283	camp1262
mali1283	enre1239
mali1283	maiw1250
mali1284	buta1242
mali1285	alco1235
mall1246	khmu1256
malo1243	aore1237
malo1245	arop1242
malp1246	kuma1274
malt1254	malt1238
malv1243	bhil1253
malv1243	hado1235
mama1271	bank1258
mama1271	bomu1247
mama1271	hain1253
mama1272	akee1238
mama1272	boru1244
mama1275	butu1244
mama1276	bamb1270
mama1277	fino1238
mama1278	enaw1238
mamb1294	gida1247
mamb1296	bwil1245
mamb1296	fipa1238
mamb1305	anak1240
mamb1305	komo1261
mamb1306	buna1278
mamp1244	dagb1246
mamu1254	lote1237
mamv1243	efee1239
manc1252	daur1238
manc1252	haer1234
manc1252	kile1243
mand1409	bila1253
mand1409	hari1246
mand1413	bhun1242
mand1413	lodh1246
mand1415	beij1234
mand1415	kita1247
mand1416	amii1238
mand1417	gung1248
mand1417	guwa1243
mand1419	bain1261
mand1436	jola1263
mand1442	dakk1238
mand1443	beri1254
mand1445	aghu1255
mand1446	dako1258
mand1446	hida1246
mand1446	lako1247
mand1448	maku1246
mane1266	ainb1238
mane1266	kilm1241
mang1378	bitt1240
mang1381	alaw1244
mang1382	amar1271
mang1382	erre1238
mang1382	gunw1252
mang1387	baii1251
mang1394	asoa1238
mang1394	bara1361
mang1394	lika1243
mang1396	dong1290
mang1398	bedj1245
mang1398	gabr1253
mang1399	bade1248
mang1403	lesi1239
mang1403	lote1237
mang1404	kuma1278
mang1405	komo1261
mang1408	baca1243
mang1408	kada1286
mang1416	kirb1236
